n_clicks,cv_mean_train_accuracy,cv_std_train_accuracy,cv_mean_train_roc_auc,cv_std_train_roc_auc,cv_mean_train_precision,cv_std_train_precision,cv_mean_train_recall,cv_std_train_recall,cv_mean_train_f1,cv_std_train_f1,cv_mean_train_macro_f1,cv_std_train_macro_f1,cv_mean_train_cohen_kappa,cv_std_train_cohen_kappa,cv_mean_test_accuracy,cv_std_test_accuracy,cv_mean_test_roc_auc,cv_std_test_roc_auc,cv_mean_test_precision,cv_std_test_precision,cv_mean_test_recall,cv_std_test_recall,cv_mean_test_f1,cv_std_test_f1,cv_mean_test_macro_f1,cv_std_test_macro_f1,cv_mean_test_cohen_kappa,cv_std_test_cohen_kappa
2,0.7698742963506626,0.010583876271224686,0.8277264895096789,0.008363436374325166,0.7152866829797199,0.0306384469738155,0.633639255451793,0.07251591296890023,0.6684041735117008,0.031059051940463,0.7457505192684061,0.01611134011274405,0.4938698164791287,0.03105187479586683,0.7679599685270276,0.009232379652174607,0.8249092224402025,0.005746207806332439,0.713909225287287,0.03640607735022207,0.6309268463089699,0.07073424187046047,0.6658350980157627,0.026587878840876766,0.7436469268344819,0.012641529284439044,0.4898592045104799,0.024244490587667065
3,0.7952218488698815,0.008291698724831735,0.85607252666274,0.0058436698801280175,0.7599277130308251,0.015719202186859346,0.6521256421127812,0.03201424232528735,0.7012572038473196,0.017583325533876912,0.7726893103572776,0.010938993093923722,0.5469778506400512,0.02097399054352495,0.790934961197913,0.009889486250460301,0.8519822319069768,0.004763796374105442,0.7518888866885034,0.016922353449381217,0.6481767629452022,0.028708285403272714,0.6957349134747094,0.017626563981864823,0.768210811280617,0.011883208921654363,0.5379062391291972,0.023299082911935432
4,0.8073334094510856,0.015478815442460065,0.874277993886321,0.01802214735284692,0.7770930541223734,0.0330209574019236,0.6731759286955967,0.036768262845392065,0.7204194948042513,0.02326074479230186,0.7866540691150213,0.01703900077396868,0.5747071072215852,0.033964721208977436,0.8035890533988255,0.015903702132870623,0.8719411153266655,0.016989078739009948,0.7715120499112263,0.03481216400372445,0.6681339536656239,0.036142277481867505,0.7150710736317091,0.022448971445233664,0.782533513455863,0.016945369541930357,0.5664987509834533,0.03401220416099344
5,0.8191853456977581,0.010222590490147837,0.8905143656941794,0.0074658465049410126,0.7939365028940732,0.03347235025279653,0.6931584141099046,0.03827194832212975,0.7386381535792728,0.016334257019677317,0.8001115098610994,0.011119889006321994,0.6015483246843869,0.021923055337290605,0.8180727351303412,0.009451007907635436,0.887461147690735,0.007129243205819541,0.7922434268840551,0.03837785927274688,0.6929275767343633,0.034953099252309404,0.7375812946592857,0.010471835923541952,0.799063588426745,0.008241761290711191,0.5994543359421785,0.016746552866215843
6,0.8238782303283116,0.009332758038634911,0.9016672388482169,0.005407663462042208,0.8101550524936784,0.020241695162255012,0.6842807050123121,0.032931122313372564,0.7412029877356681,0.017348576538622134,0.8038196806499291,0.011471672100144445,0.6092563118474923,0.02245150951107658,0.8239826387670979,0.006278557428501546,0.8998694785049463,0.0034365842017064787,0.8084751659497103,0.021405455098581792,0.6875183003318672,0.03135577166830706,0.7422680048320476,0.012817404492530682,0.8042603419011967,0.007846057806711491,0.6100473980462089,0.015233438075868086
7,0.8342003172367025,0.007694637177152493,0.9114095175335652,0.004810010052215843,0.8150758320559554,0.025028608745309697,0.7145480075659578,0.024025470410008614,0.7608456489836029,0.010309605564772934,0.8169406077975555,0.007816232816927815,0.6348562031419798,0.01563902918158942,0.8332228921271234,0.008343543639670003,0.9091999950524741,0.006245417694787591,0.8139563837405639,0.029501164935302766,0.7136693713577973,0.029002985715408953,0.7595218908478067,0.010822372784972115,0.8158678129244601,0.008200893561431184,0.6327936213165426,0.016363826229045295
8,0.8431073448162862,0.006207921205824643,0.921158380243489,0.0032061964221337482,0.8229370671634367,0.03728992188132245,0.7381373451379729,0.04181732121274547,0.7762466998702129,0.008171857406605034,0.8275983317165526,0.005108903547220712,0.6561758064624756,0.01003909588369009,0.8399657036404807,0.008973137951584048,0.9198604513971933,0.0037294513854505868,0.8172100345374445,0.04090197354736019,0.7359862807056545,0.040222437774502844,0.7724231174908519,0.00847741504973269,0.8243671547242585,0.007308156890870082,0.649708868387045,0.014671555588718561
9,0.8464161629279369,0.01135420057700534,0.9258325837965253,0.0057501979396550155,0.8081325247625273,0.04573099995335834,0.774209591870678,0.050169912957581,0.7880069284686608,0.013654711103614348,0.8336071983583304,0.01063932474554159,0.667956874279277,0.020826009769098753,0.8430457332427425,0.010215426679837427,0.9251493407068162,0.005939665647043774,0.805477391519845,0.04584632891976438,0.7674363656573033,0.0605749395014189,0.7824544205338694,0.017119828187921557,0.8295970491506888,0.01085593164630495,0.660172357648187,0.020771286951513725
10,0.8552713914568704,0.003725097348190432,0.9330986442732018,0.0041681787075973755,0.8278641771559302,0.027343042374340217,0.7710252351097427,0.04385448229047832,0.7968616658788881,0.011810529124964598,0.8421381292285373,0.005944948778037743,0.6848256031523813,0.011514002798147982,0.8538667196701313,0.003240493921982231,0.9316999622077967,0.0030621129740601846,0.8264360137009781,0.029594666223781655,0.7685655398002446,0.04155003570537534,0.7948806186139196,0.009467438140262756,0.8406014864743623,0.004402009305920251,0.6817600254211198,0.008558906923271572
