model,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall,train_f1,test_f1,train_roc_auc,test_roc_auc
lightgbm,0.9083766909469303,0.8583021223470662,0.9036308623298033,0.8278344331133773,0.8416232210793293,0.7779030439684329,0.8715254979207704,0.8020924149956408,0.9770577997488078,0.937904367691635
xgboost,0.9117065556711759,0.8558052434456929,0.9099605223200729,0.8234590065828845,0.8444413132309426,0.7756482525366404,0.8759774903164511,0.7988388969521045,0.977773556334779,0.9369270063330488
random_forest,0.9023933402705515,0.8541406575114441,0.8581424063657567,0.7926895799236224,0.8813583204170776,0.8190529875986471,0.8695954400111219,0.8056556695314666,0.9684555810109035,0.9345504398033156
knn,0.9977107180020812,0.8487307532251352,0.996760107057332,0.8166969147005445,0.997041003240806,0.7609921082299888,0.9969005353620738,0.7878611030055442,0.9999840766054289,0.9209178570259955
logistic_regression,0.8247658688865764,0.8218893050353725,0.740922599819098,0.7283582089552239,0.8079470198675497,0.8252536640360767,0.772984631976274,0.773784355179704,0.8948124962755819,0.8886543349703873
